"title","address","gasPrices/0/currency","gasPrices/0/gasType","gasPrices/0/price","gasPrices/0/priceTag","gasPrices/0/unit","gasPrices/0/updatedAt","gasPrices/1/currency","gasPrices/1/gasType","gasPrices/1/price","gasPrices/1/priceTag","gasPrices/1/unit","gasPrices/1/updatedAt","gasPrices/2/currency","gasPrices/2/gasType","gasPrices/2/price","gasPrices/2/priceTag","gasPrices/2/unit","gasPrices/2/updatedAt","gasPrices/3/currency","gasPrices/3/gasType","gasPrices/3/price","gasPrices/3/priceTag","gasPrices/3/unit","gasPrices/3/updatedAt","website","phone","totalScore","rank","reviewsCount","isAdvertisement","categoryName","searchString","url"
"Shell","3425 Midway Dr, San Diego, CA 92110","USD","Regular","6.3","$6.30","gallon","2023-10-02T12:25:11.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-01T23:38:11.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-02T12:07:47.000Z","USD","Diesel","6.3","$6.30","gallon","2023-10-02T06:20:38.000Z","https://find.shell.com/us/fuel/10013499-3425-midway-dr","(619) 758-1412","3.7","79","96","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7503731,-117.2127401,17z/data=!3m1!4b1!4m6!3m5!1s0x80deaafb8e730437:0xf301338ba5285fdb!8m2!3d32.7503731!4d-117.2127401!16s%2Fg%2F1tfl9zhj?hl=en&entry=ttu"
"NEX Autoport: Murphy Canyon","3401 Santo Rd, San Diego, CA 92124",,,,,,,,,,,,,,,,,,,,,,,,,"https://www.mynavyexchange.com/","(858) 627-4428","4.4","120","360","false","Convenience store","gas station in San Diego","https://www.google.com/maps/place/NEX+Autoport:+Murphy+Canyon/@32.8081498,-117.1048109,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9558b11c07b3f:0x8a892294954c4aac!8m2!3d32.8081498!4d-117.1048109!16s%2Fg%2F1tyt5myw?hl=en&entry=ttu"
"Summit Gasoline","3580 Sports Arena Blvd, San Diego, CA 92110","USD","Regular","6","$6.00","gallon","2023-10-01T15:05:14.000Z","USD","Midgrade","6.1","$6.10","gallon","2023-09-27T04:14:59.000Z","USD","Premium","6.3","$6.30","gallon","2023-09-27T04:14:59.000Z","USD","Diesel","6.24","$6.24","gallon","2023-09-30T11:08:33.000Z",,"(619) 542-9355","4.2","1","265","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Summit+Gasoline/@32.7543485,-117.2133733,17z/data=!3m1!4b1!4m6!3m5!1s0x80deabec0c0352ff:0x6d7cb679e283059f!8m2!3d32.7543485!4d-117.2133733!16s%2Fg%2F11hz127b55?hl=en&entry=ttu"
"Speedway","4202 Clairemont Mesa Blvd, San Diego, CA 92117","USD","Regular","6","$6.00","gallon","2023-10-02T14:29:36.000Z","USD","Midgrade","6.2","$6.20","gallon","2023-10-02T14:17:44.000Z","USD","Premium","6.3","$6.30","gallon","2023-10-02T14:17:44.000Z","USD","Diesel","6.49","$6.49","gallon","2023-10-02T04:42:33.000Z","https://www.speedway.com/locations/CA/San-Diego/4202-CLAIREMONT-MESA-BLVD","(858) 483-3750","4.5","119","31","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Speedway/@32.831406,-117.2020529,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc00f5ef22f6e7:0x6680a2c1e0318b9f!8m2!3d32.831406!4d-117.2020529!16s%2Fg%2F11lgj3q4cf?hl=en&entry=ttu"
"Soco Petroleum","4915 Mercury St, San Diego, CA 92111",,,,,,,,,,,,,,,,,,,,,,,,,,"(858) 627-0440",,"118","0","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Soco+Petroleum/@32.8310302,-117.1484745,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbffbd41e45add:0x670f1bb2d26e289c!8m2!3d32.8310302!4d-117.1484745!16s%2Fg%2F1th87d_m?hl=en&entry=ttu"
"Royal Oil","6953 Navajo Rd, San Diego, CA 92119",,,,,,,,,,,,,,,,,,,,,,,,,,"(619) 462-2204","4.5","117","19","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Royal+Oil/@32.8038015,-117.0454352,17z/data=!3m1!4b1!4m6!3m5!1s0x80d95735989632bf:0xe4420b2398cbc3ed!8m2!3d32.8038015!4d-117.0454352!16s%2Fg%2F11fb0vt73k?hl=en&entry=ttu"
"Chevron","6404 Mission Gorge Rd, San Diego, CA 92120","USD","Regular","6.4","$6.40","gallon","2023-10-02T11:28:09.000Z","USD","Midgrade","6.76","$6.76","gallon","2023-10-02T07:56:54.000Z","USD","Premium","6.92","$6.92","gallon","2023-10-02T11:19:58.000Z","USD","Diesel","6.2","$6.20","gallon","2023-10-01T10:05:24.000Z","https://www.chevron.com/","(619) 284-2181","3.6","116","18","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.790126,-117.0979795,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955c19a61d52f:0x353cf1ae9bcf3268!8m2!3d32.790126!4d-117.0979795!16s%2Fg%2F11ny4p847m?hl=en&entry=ttu"
"US-80 Fuel Plaza","4099 El Cajon Blvd, San Diego, CA 92105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"115","0","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/US-80+Fuel+Plaza/@32.7551106,-117.1071995,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955db2bb01bf3:0x9a017a711336d848!8m2!3d32.7551106!4d-117.1071995!16s%2Fg%2F11sqgfhvcr?hl=en&entry=ttu"
"MCX Gas Station","2499, San Diego, CA 92126",,,,,,,,,,,,,,,,,,,,,,,,,"http://www.mymcx.com/index.cfm/locations/miramar/services/convenience-stores/","(858) 695-7300","4.4","113","164","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/MCX+Gas+Station/@32.8903233,-117.1240261,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbfed52c58fdb5:0x1f360cb605e13a67!8m2!3d32.8903233!4d-117.1240261!16s%2Fg%2F11fz9gwkq7?hl=en&entry=ttu"
"Chevron","5040 El Cajon Blvd, San Diego, CA 92115","USD","Regular","6.6","$6.60","gallon","2023-10-02T08:52:30.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-09-29T13:55:44.000Z","USD","Premium","7","$7.00","gallon","2023-10-01T06:32:59.000Z","USD","Diesel","6.6","$6.60","gallon","2023-09-23T18:04:49.000Z","https://www.chevron.com/","(619) 265-2379","1.8","111","13","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.7571862,-117.0861051,17z/data=!3m1!4b1!4m6!3m5!1s0x80d95423e864fb43:0x398c31a245353e1d!8m2!3d32.7571862!4d-117.0861051!16s%2Fg%2F11b8t945_t?hl=en&entry=ttu"
"Shell","2290 Moore St, San Diego, CA 92110","USD","Regular","6.7","$6.70","gallon","2023-10-02T07:24:57.000Z","USD","Midgrade","7","$7.00","gallon","2023-09-30T11:47:24.000Z","USD","Premium","7.1","$7.10","gallon","2023-09-30T11:47:24.000Z","USD","Diesel","7.1","$7.10","gallon","2023-10-02T07:23:22.000Z","https://find.shell.com/us/fuel/10008227-2290-moore-st","(619) 291-1938","3.3","108","38","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.748117,-117.192902,17z/data=!3m1!4b1!4m6!3m5!1s0x80deab2096637171:0xff35867a6aad099f!8m2!3d32.748117!4d-117.192902!16s%2Fg%2F12625t1sy?hl=en&entry=ttu"
"Gas Station","3775 Morena Blvd, San Diego, CA 92109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"107","0","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Gas+Station/@32.8087783,-117.2151102,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc01159bf9ea71:0x9fbf4b062ef0486c!8m2!3d32.8087783!4d-117.2151102!16s%2Fg%2F11l1dptp8g?hl=en&entry=ttu"
"Mobil","1809 W Washington St, San Diego, CA 92103","USD","Regular","6.4","$6.40","gallon","2023-10-02T15:31:38.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-10-02T05:15:28.000Z","USD","Premium","6.8","$6.80","gallon","2023-10-02T05:15:28.000Z","USD","Diesel","6.4","$6.40","gallon","2023-10-02T11:57:53.000Z","https://www.exxon.com/en/find-station/MOBIL-SANDIEGO-CA-NEWKIRKSSANTAFESERVICEINC-200314544?utm_source=google&utm_medium=organic&utm_campaign=gmb","(619) 543-0633","4","104","139","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Mobil/@32.742814,-117.181323,17z/data=!3m1!4b1!4m6!3m5!1s0x80deab2e472f7e7d:0xa91579d502256868!8m2!3d32.742814!4d-117.181323!16s%2Fg%2F1thpx460?hl=en&entry=ttu"
"Exxon","9790 Miramar Rd, San Diego, CA 92126","USD","Regular","6.4","$6.40","gallon","2023-10-02T13:28:11.000Z","USD","Midgrade","6.6","$6.60","gallon","2023-10-02T05:21:55.000Z","USD","Premium","6.7","$6.70","gallon","2023-10-01T14:29:10.000Z",,,,,,,"https://www.exxon.com/en/find-station/MOBIL-SANDIEGO-CA-SGZAVAROINC-200315654?utm_source=google&utm_medium=organic&utm_campaign=gmb","(858) 536-8862","3.5","103","99","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Exxon/@32.894101,-117.1186476,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbf92cf42faf4b:0x41a14186d371b5b5!8m2!3d32.894101!4d-117.1186476!16s%2Fg%2F1tqyft0c?hl=en&entry=ttu"
"Shell","7448 Jackson Dr, San Diego, CA 92119","USD","Regular","6.7","$6.70","gallon","2023-10-02T13:32:50.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-10-01T05:02:45.000Z","USD","Premium","7","$7.00","gallon","2023-10-01T11:53:34.000Z","USD","Diesel","6.4","$6.40","gallon","2023-10-01T05:02:45.000Z","https://find.shell.com/us/fuel/12722195-7448-jackson-dr","(619) 504-4569","4","100","6","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.8034788,-117.0462848,17z/data=!3m1!4b1!4m6!3m5!1s0x80d957b07ebaf791:0x588d8a882aaa63ab!8m2!3d32.8034788!4d-117.0462848!16s%2Fg%2F11fqkw11lc?hl=en&entry=ttu"
"Chevron","1666 First Ave., San Diego, CA 92101","USD","Regular","6.7","$6.70","gallon","2023-10-02T12:23:57.000Z","USD","Midgrade","6.9","$6.90","gallon","2023-10-02T12:05:59.000Z","USD","Premium","7","$7.00","gallon","2023-10-02T14:40:10.000Z","USD","Diesel","6.4","$6.40","gallon","2023-10-02T12:05:59.000Z","https://www.chevronwithtechron.com/station","(619) 346-5720","4","98","127","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.7227343,-117.1641493,17z/data=!3m1!4b1!4m6!3m5!1s0x80d954afb0e2dcd3:0x81d467f789ebb2c3!8m2!3d32.7227343!4d-117.1641493!16s%2Fg%2F11c3p1xbdp?hl=en&entry=ttu"
"Chevron Extra Mile","6385 University Ave, San Diego, CA 92115","USD","Regular","6.7","$6.70","gallon","2023-10-02T04:38:51.000Z","USD","Midgrade","6.9","$6.90","gallon","2023-09-28T13:28:40.000Z","USD","Premium","7","$7.00","gallon","2023-09-29T12:50:04.000Z","USD","Diesel","6.7","$6.70","gallon","2023-09-28T13:28:40.000Z","https://www.chevronwithtechron.com/en_us/home/gas-station-near-me.html?/station/6385-UNIVERSITY-AVE-SAN-DIEGO-CA-92115-id374782","(619) 677-3381","2.9","97","18","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron+Extra+Mile/@32.754289,-117.0586152,17z/data=!3m1!4b1!4m6!3m5!1s0x80d956b8d4c84feb:0xc618685856274b8d!8m2!3d32.754289!4d-117.0586152!16s%2Fg%2F11b6t2cgxn?hl=en&entry=ttu"
"Shell","2606 Clairemont Dr, San Diego, CA 92117","USD","Regular","6.7","$6.70","gallon","2023-10-02T14:51:00.000Z","USD","Midgrade","6.9","$6.90","gallon","2023-10-02T14:51:00.000Z","USD","Premium","7","$7.00","gallon","2023-10-02T14:51:00.000Z",,,,,,,"https://find.shell.com/us/fuel/10008231-2606-clairemont-dr","(619) 275-2250","2.9","96","66","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.7906518,-117.2029139,17z/data=!3m1!4b1!4m6!3m5!1s0x80dc0020d291dfb7:0x69aa4f07dcfe44e!8m2!3d32.7906518!4d-117.2029139!16s%2Fg%2F1xfsp0s6?hl=en&entry=ttu"
"Chevron","3602 El Cajon Blvd, San Diego, CA 92104","USD","Regular","6.29","$6.29","gallon","2023-10-02T15:09:07.000Z","USD","Midgrade","6.59","$6.59","gallon","2023-10-02T15:00:42.000Z","USD","Premium","6.69","$6.69","gallon","2023-09-29T13:59:50.000Z","USD","Diesel","6.4","$6.40","gallon","2023-09-29T23:18:27.000Z","http://chevronwithtechron.com/","(619) 283-0829","3.1","95","10","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.7554431,-117.1155726,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9545ab82d5919:0xb99ad4704c8809c1!8m2!3d32.7554431!4d-117.1155726!16s%2Fg%2F1hhx8f81y?hl=en&entry=ttu"
"Race Gase station","6225 Fairmount Ave, San Diego, CA 92120",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","94","1","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Race+Gase+station/@32.788577,-117.1013212,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955c0f4fba20f:0x78c3843bae77cee0!8m2!3d32.788577!4d-117.1013212!16s%2Fg%2F11cm3phr9s?hl=en&entry=ttu"
"Chevron","4055 University Ave, San Diego, CA 92105","USD","Regular","6.6","$6.60","gallon","2023-10-02T12:27:47.000Z","USD","Midgrade","6.8","$6.80","gallon","2023-10-02T03:34:19.000Z","USD","Premium","6.98","$6.98","gallon","2023-10-02T07:17:12.000Z",,,,,,,"https://www.chevron.com/","(619) 269-8955","3.8","93","42","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Chevron/@32.749229,-117.107797,17z/data=!3m1!4b1!4m6!3m5!1s0x80d95441ec8bc89d:0x6fd21c70148b7ffd!8m2!3d32.749229!4d-117.107797!16s%2Fg%2F1262m1kp6?hl=en&entry=ttu"
"Hazard Center Auto Mart","7698 Friars Rd, San Diego, CA 92108","USD","Regular","6","$6.00","gallon","2023-10-02T10:56:38.000Z","USD","Midgrade","6.39","$6.39","gallon","2023-10-02T09:17:25.000Z","USD","Premium","6.5","$6.50","gallon","2023-09-29T15:31:43.000Z",,,,,,,"http://www.hazardcenterautomart.com/","(619) 296-2566","4.6","90","85","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Hazard+Center+Auto+Mart/@32.7728205,-117.158064,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9553951dfb181:0xdbadd7c28d89d3e3!8m2!3d32.7728205!4d-117.158064!16s%2Fg%2F1tffpmt5?hl=en&entry=ttu"
"Shell","8920 Miramar Rd, San Diego, CA 92126","USD","Regular","6.4","$6.40","gallon","2023-10-02T09:01:12.000Z","USD","Midgrade","6.6","$6.60","gallon","2023-10-02T13:59:42.000Z","USD","Premium","6.7","$6.70","gallon","2023-10-02T08:20:21.000Z","USD","Diesel","6.5","$6.50","gallon","2023-10-02T08:15:47.000Z","https://find.shell.com/us/fuel/10006274-8920-miramar-road","(858) 566-2541","3.6","83","59","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.894069,-117.1330502,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbf8d15093f513:0xcb6a2a439247bfd3!8m2!3d32.894069!4d-117.1330502!16s%2Fg%2F1tvdk2b5?hl=en&entry=ttu"
"Shell","9490 Mira Mesa Blvd, San Diego, CA 92126","USD","Regular","6.39","$6.39","gallon","2023-10-02T15:20:48.000Z","USD","Midgrade","6.59","$6.59","gallon","2023-10-02T13:12:24.000Z","USD","Premium","6.69","$6.69","gallon","2023-10-02T12:47:45.000Z","USD","Diesel","6.5","$6.50","gallon","2023-10-01T11:05:57.000Z","https://find.shell.com/us/fuel/10008242-9490-mira-mesa-blvd","(858) 271-0874","4.2","78","163","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Shell/@32.917675,-117.1212201,17z/data=!3m1!4b1!4m6!3m5!1s0x80dbf8ec0463a4f3:0xdbc63a2f4e77f43!8m2!3d32.917675!4d-117.1212201!16s%2Fg%2F1hc34m2vw?hl=en&entry=ttu"
"Valero Gas Stations","3150 Adams Ave, San Diego, CA 92116",,,,,,,,,,,,,,,,,,,,,,,,,,,"5","76","1","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Valero+Gas+Stations/@32.7635833,-117.1263259,17z/data=!3m1!4b1!4m6!3m5!1s0x80d955ae5229d7ed:0x2ec682a7c43702e0!8m2!3d32.7635833!4d-117.1263259!16s%2Fg%2F11s8k7gmk3?hl=en&entry=ttu"
"Speedway","3255 University Ave, San Diego, CA 92104","USD","Regular","6.3","$6.30","gallon","2023-10-02T14:02:08.000Z","USD","Midgrade","6.5","$6.50","gallon","2023-10-02T06:15:00.000Z","USD","Premium","6.6","$6.60","gallon","2023-10-01T06:15:30.000Z","USD","Diesel","6.29","$6.29","gallon","2023-10-01T13:58:52.000Z","https://www.speedway.com/locations/CA/San-Diego/3255-UNIVERSITY-AVE","(619) 283-2517","3.6","87","30","false","Gas station","gas station in San Diego","https://www.google.com/maps/place/Speedway/@32.7483067,-117.1236449,17z/data=!3m1!4b1!4m6!3m5!1s0x80d9545ee03a97f7:0xe3dda0f9af02da99!8m2!3d32.7483067!4d-117.1236449!16s%2Fg%2F1w15zqyv?hl=en&entry=ttu"
